"tick","Id","View","Subs","Unsubs","EventIds","RetrieveBufElems","Crashed","Subscribed"
5.0,5,"[0, 1, 3, 4, 6, 8]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[6:2:2, 7:3:2, 6:3:1, 0:3:0, 1:4:0, 1:4:2, 5:4:1, 8:5:2, 0:5:0, 4:5:1]","[6:1:0, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 9:1:2]","false","true"
5.0,6,"[1, 3, 4, 5, 7, 8]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 0:5:0, 4:5:1, 8:5:2]","[]","false","true"
5.0,7,"[0, 2, 3, 5, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[6:2:2, 0:3:0, 7:3:2, 6:3:1, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[0:1:1, 2:2:1, 2:2:1, 9:1:2, 2:2:1, 2:2:1, 6:2:0]","false","true"
5.0,9,"[1, 4, 5, 6, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[]","[6:2:2, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[6:1:0, 0:1:1, 0:1:1, 2:2:1, 2:2:1]","false","true"
6.0,0,"[3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2]","[9:1:2, 9:1:2, 9:1:2, 6:2:0, 6:2:0, 6:2:2, 6:2:2, 6:2:2, 2:2:1, 6:2:2, 7:3:2]","false","true"
6.0,2,"[0, 1, 3, 4, 8, 9]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[]","[2:2:1, 7:3:2, 6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[6:2:0, 6:2:2, 9:1:2, 6:2:2]","false","true"
6.0,8,"[0, 1, 2, 3, 6, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[0:3:0, 5:4:1, 1:4:0, 1:4:2, 0:5:0, 4:5:1, 8:5:2, 6:6:0, 8:6:2, 5:6:1]","[6:2:2, 9:1:2, 6:2:0, 6:2:2, 6:2:0, 6:2:2, 6:2:2, 6:2:0, 6:2:2, 9:1:2, 6:3:1, 6:2:2, 6:3:1, 7:3:2]","false","true"
6.0,1,"[0, 2, 5, 7, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[6:3:1, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2]","[0:1:1, 9:1:2, 6:2:0, 2:2:1, 2:2:1, 2:2:1]","false","true"
6.0,4,"[0, 1, 2, 5, 8, 9]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[6:2:2, 6:3:1, 0:3:0, 7:3:2, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0]","[9:1:2, 2:2:1, 6:2:0]","false","true"
6.0,3,"[0, 1, 2, 5, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[6:3:1, 7:3:2, 0:3:0, 5:4:1, 1:4:0, 1:4:2, 0:5:0, 4:5:1, 8:5:2, 8:6:2]","[4:5:1, 8:5:2]","false","true"
6.0,5,"[0, 3, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[6:3:1, 0:3:0, 1:4:0, 1:4:2, 5:4:1, 8:5:2, 0:5:0, 4:5:1, 6:6:0, 8:6:2]","[6:1:0, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 2:2:1]","false","true"
6.0,6,"[1, 3, 4, 5, 7, 9]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[0:3:0, 5:4:1, 1:4:0, 1:4:2, 0:5:0, 4:5:1, 8:5:2, 5:6:1, 6:6:0, 8:6:2]","[2:2:1]","false","true"
6.0,7,"[0, 1, 5, 6, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[6:3:1, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 5:6:1, 8:6:2]","[0:1:1, 2:2:1, 2:2:1, 9:1:2, 2:2:1, 2:2:1, 6:2:0, 2:2:1, 6:2:0, 2:2:1, 9:1:2]","false","true"
6.0,9,"[0, 1, 2, 5, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[]","[0:3:0, 5:4:1, 1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 8:6:2, 6:6:0, 5:6:1]","[6:1:0, 0:1:1, 0:1:1, 2:2:1, 2:2:1, 2:2:1, 2:2:1, 6:2:2, 6:3:1, 7:3:2]","false","true"
7.0,0,"[1, 2, 3, 6, 7, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0]","[9:1:2, 9:1:2, 9:1:2, 6:2:0, 6:2:0, 6:2:2, 6:2:2, 6:2:2, 2:2:1, 6:2:2, 7:3:2, 5:4:1]","false","true"
7.0,2,"[0, 1, 3, 4, 5, 8]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0, 1:7:2]","[6:2:0, 6:2:2, 9:1:2, 6:2:2]","false","true"
7.0,8,"[0, 1, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0, 1:7:2]","[6:2:2, 9:1:2, 6:2:0, 6:2:2, 6:2:0, 6:2:2, 6:2:2, 6:2:0, 6:2:2, 9:1:2, 6:3:1, 6:2:2, 6:3:1, 7:3:2]","false","true"
7.0,1,"[0, 2, 3, 4, 7, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[1:4:0, 1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0]","[0:1:1, 9:1:2, 6:2:0, 2:2:1, 2:2:1, 2:2:1]","false","true"
7.0,4,"[0, 2, 5, 6, 7, 9]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 5:6:1, 8:6:2, 2:7:0, 0:7:1, 1:7:2]","[9:1:2, 2:2:1, 6:2:0, 5:4:1]","false","true"
7.0,3,"[0, 4, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 8:6:2, 5:6:1, 6:6:0, 1:7:2, 0:7:1, 2:7:0]","[4:5:1, 8:5:2, 6:3:1]","false","true"
7.0,5,"[0, 4, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[1:4:2, 5:4:1, 8:5:2, 0:5:0, 4:5:1, 6:6:0, 8:6:2, 5:6:1, 2:7:0, 0:7:1]","[6:1:0, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 2:2:1, 6:3:1, 1:4:0]","false","true"
7.0,6,"[1, 2, 3, 4, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 5:6:1, 6:6:0, 8:6:2, 0:7:1, 2:7:0, 1:7:2]","[2:2:1, 5:4:1]","false","true"
7.0,7,"[0, 3, 4, 5, 6, 8]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 5:6:1, 8:6:2, 0:7:1, 2:7:0, 1:7:2]","[0:1:1, 2:2:1, 2:2:1, 9:1:2, 2:2:1, 2:2:1, 6:2:0, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 0:3:0]","false","true"
7.0,9,"[0, 3, 4, 5, 7, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 8:6:2, 6:6:0, 5:6:1, 0:7:1, 1:7:2, 2:7:0]","[6:1:0, 0:1:1, 0:1:1, 2:2:1, 2:2:1, 2:2:1, 2:2:1, 6:2:2, 6:3:1, 7:3:2, 5:4:1]","false","true"
8.0,0,"[2, 4, 5, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0, 1:7:2]","[9:1:2, 9:1:2, 9:1:2, 6:2:0, 6:2:0, 6:2:2, 6:2:2, 6:2:2, 2:2:1, 6:2:2, 7:3:2, 5:4:1, 1:4:0]","false","true"
8.0,2,"[0, 1, 5, 6, 7, 8]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[]","[8:5:2, 0:5:0, 6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0, 1:7:2, 3:8:2, 0:8:0]","[6:2:0, 6:2:2, 9:1:2, 6:2:2, 5:4:1, 1:4:2]","false","true"
8.0,8,"[0, 2, 3, 4, 5, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0, 1:7:2]","[6:2:2, 9:1:2, 6:2:0, 6:2:2, 6:2:0, 6:2:2, 6:2:2, 6:2:0, 6:2:2, 9:1:2, 6:3:1, 6:2:2, 6:3:1, 7:3:2, 5:4:1]","false","true"
8.0,1,"[3, 4, 5, 6, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0, 1:7:2]","[0:1:1, 9:1:2, 6:2:0, 2:2:1, 2:2:1, 2:2:1]","false","true"
8.0,4,"[0, 1, 5, 6, 7, 8]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[8:5:2, 0:5:0, 6:6:0, 5:6:1, 8:6:2, 2:7:0, 0:7:1, 1:7:2, 3:8:2, 0:8:0]","[9:1:2, 2:2:1, 6:2:0, 5:4:1, 1:4:0, 5:4:1, 1:4:2]","false","true"
8.0,3,"[1, 2, 4, 5, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 8:6:2, 5:6:1, 6:6:0, 1:7:2, 0:7:1, 2:7:0]","[4:5:1, 8:5:2, 6:3:1, 1:4:0]","false","true"
8.0,5,"[0, 1, 2, 4, 6, 9]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[0:5:0, 4:5:1, 6:6:0, 8:6:2, 5:6:1, 2:7:0, 0:7:1, 1:7:2, 3:8:2, 0:8:0]","[6:1:0, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 2:2:1, 6:3:1, 1:4:0, 1:4:2, 1:4:2, 1:4:2, 1:4:2]","false","true"
8.0,6,"[1, 2, 3, 4, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 5:6:1, 6:6:0, 8:6:2, 0:7:1, 2:7:0, 1:7:2]","[2:2:1, 5:4:1]","true","true"
8.0,7,"[0, 1, 5, 6, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[1:4:2, 4:5:1, 8:5:2, 0:5:0, 6:6:0, 5:6:1, 8:6:2, 0:7:1, 2:7:0, 1:7:2]","[0:1:1, 2:2:1, 2:2:1, 9:1:2, 2:2:1, 2:2:1, 6:2:0, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 0:3:0, 1:4:0]","false","true"
8.0,9,"[1, 2, 3, 4, 5, 7]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[]","[8:5:2, 0:5:0, 8:6:2, 6:6:0, 5:6:1, 0:7:1, 1:7:2, 2:7:0, 3:8:2, 0:8:0]","[6:1:0, 0:1:1, 0:1:1, 2:2:1, 2:2:1, 2:2:1, 2:2:1, 6:2:2, 6:3:1, 7:3:2, 5:4:1, 1:4:2]","false","true"
9.0,0,"[1, 3, 4, 6, 7, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0, 1:7:2, 7:9:2, 3:8:2, 0:8:0, 4:9:0]","[9:1:2, 9:1:2, 9:1:2, 6:2:0, 6:2:0, 6:2:2, 6:2:2, 6:2:2, 2:2:1, 6:2:2, 7:3:2, 5:4:1, 1:4:0, 4:5:1]","false","true"
9.0,2,"[1, 4, 5, 7, 8, 9]","[0, 1, 3, 4, 5, 6, 7, 8, 9]","[]","[6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0, 1:7:2, 3:8:2, 0:8:0, 4:9:0, 7:9:2]","[6:2:0, 6:2:2, 9:1:2, 6:2:2, 5:4:1, 1:4:2, 1:4:2, 4:5:1, 1:4:2, 4:5:1, 1:4:2, 4:5:1, 8:5:2]","false","true"
9.0,8,"[0, 1, 2, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[]","[6:6:0, 8:6:2, 5:6:1, 0:7:1, 2:7:0, 1:7:2, 3:8:2, 0:8:0, 4:9:0, 7:9:2]","[6:2:2, 9:1:2, 6:2:0, 6:2:2, 6:2:0, 6:2:2, 6:2:2, 6:2:0, 6:2:2, 9:1:2, 6:3:1, 6:2:2, 6:3:1, 7:3:2, 5:4:1]","false","true"
9.0,1,"[2, 3, 5, 7, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[]","[6:6:0, 8:6:2, 0:7:1, 5:6:1, 2:7:0, 1:7:2, 3:8:2, 0:8:0, 4:9:0, 7:9:2]","[0:1:1, 9:1:2, 6:2:0, 2:2:1, 2:2:1, 2:2:1, 4:5:1]","false","true"
9.0,4,"[0, 1, 2, 3, 5, 6]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[]","[0:5:0, 6:6:0, 5:6:1, 8:6:2, 2:7:0, 0:7:1, 1:7:2, 3:8:2, 0:8:0, 4:9:0]","[9:1:2, 2:2:1, 6:2:0, 5:4:1, 1:4:0, 5:4:1, 1:4:2, 1:4:2, 4:5:1]","false","true"
9.0,3,"[0, 2, 4, 6, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[]","[8:6:2, 5:6:1, 6:6:0, 1:7:2, 0:7:1, 2:7:0, 3:8:2, 0:8:0, 4:9:0, 7:9:2]","[4:5:1, 8:5:2, 6:3:1, 1:4:0, 0:5:0, 4:5:1]","false","true"
9.0,5,"[0, 1, 2, 3, 4, 7]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[]","[6:6:0, 8:6:2, 5:6:1, 2:7:0, 0:7:1, 1:7:2, 3:8:2, 0:8:0, 7:9:2, 4:9:0]","[6:1:0, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 9:1:2, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 2:2:1, 6:3:1, 1:4:0, 1:4:2, 1:4:2, 1:4:2, 1:4:2, 1:4:2, 8:5:2, 1:4:2, 8:5:2]","false","true"
9.0,6,"[1, 2, 3, 4, 5, 7]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[]","[1:4:2, 0:5:0, 4:5:1, 8:5:2, 5:6:1, 6:6:0, 8:6:2, 0:7:1, 2:7:0, 1:7:2]","[2:2:1, 5:4:1]","true","true"
9.0,7,"[1, 2, 3, 4, 5, 9]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[]","[0:5:0, 6:6:0, 5:6:1, 8:6:2, 0:7:1, 2:7:0, 1:7:2, 3:8:2, 0:8:0, 4:9:0]","[0:1:1, 2:2:1, 2:2:1, 9:1:2, 2:2:1, 2:2:1, 6:2:0, 2:2:1, 6:2:0, 2:2:1, 9:1:2, 0:3:0, 1:4:0, 1:4:2, 4:5:1, 8:5:2]","false","true"
