"tick","message_propagation"
81.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=4, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
82.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=11, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
83.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=23, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
84.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=45, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
85.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=67, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=84}"
86.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=75, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=85}"
87.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=77, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=86}"
88.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=88}"
89.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=93}"
90.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=98}"
91.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=99}"
92.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
93.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
94.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
95.0,"{8c30db8e-1c1a-46d8-b24b-5e634efbfc99=79, cbd1205c-269f-4218-87d2-58983115837f=100, 8f4dd291-8532-4377-9d97-f01bce0caf32=100, 5a33bd61-ad8f-4a97-8108-d094cd63570e=100}"
